,modus,zoneamount,output,job_id,memory,cpu_time,status,seed
6,GUROBI_BEST_TIDAL,1,Submitted batch job 41981140,41981140_1,"['25.26', 'GB']",01:15:40,COMPLETED (exit code 0),1
6,GUROBI_BEST_TIDAL,1,Submitted batch job 41981140,41981140_2,"['25.76', 'GB']",06:59:57,COMPLETED (exit code 0),2
6,GUROBI_BEST_TIDAL,1,Submitted batch job 41981140,41981140_3,"['25.35', 'GB']",06:04:44,COMPLETED (exit code 0),3
6,GUROBI_BEST_TIDAL,1,Submitted batch job 41981140,41981140_4,"['31.63', 'GB']",05:32:30,COMPLETED (exit code 0),4
6,GUROBI_BEST_TIDAL,1,Submitted batch job 41981140,41981140_5,"['25.80', 'GB']",00:56:58,COMPLETED (exit code 0),5
7,GUROBI_BEST_TIDAL,2,Submitted batch job 41981141,41981141_1,"['49.57', 'GB']",06:08:56,COMPLETED (exit code 0),1
7,GUROBI_BEST_TIDAL,2,Submitted batch job 41981141,41981141_2,"['48.58', 'GB']",06:14:45,COMPLETED (exit code 0),2
7,GUROBI_BEST_TIDAL,2,Submitted batch job 41981141,41981141_3,"['48.47', 'GB']",06:10:26,COMPLETED (exit code 0),3
7,GUROBI_BEST_TIDAL,2,Submitted batch job 41981141,41981141_4,"['59.66', 'GB']",06:12:33,COMPLETED (exit code 0),4
7,GUROBI_BEST_TIDAL,2,Submitted batch job 41981141,41981141_5,"['55.23', 'GB']",06:11:03,COMPLETED (exit code 0),5
8,GUROBI_BEST_TIDAL,5,Submitted batch job 41981142,41981142_1,"['62.34', 'GB']",00:30:15,OUT_OF_MEMORY (exit code 0),1
8,GUROBI_BEST_TIDAL,5,Submitted batch job 41981142,41981142_2,"['62.69', 'GB']",00:24:05,OUT_OF_MEMORY (exit code 0),2
8,GUROBI_BEST_TIDAL,5,Submitted batch job 41981142,41981142_3,"['63.46', 'GB']",00:29:35,OUT_OF_MEMORY (exit code 0),3
8,GUROBI_BEST_TIDAL,5,Submitted batch job 41981142,41981142_4,"['63.34', 'GB']",00:26:57,OUT_OF_MEMORY (exit code 0),4
8,GUROBI_BEST_TIDAL,5,Submitted batch job 41981142,41981142_5,"['63.64', 'GB']",00:26:17,OUT_OF_MEMORY (exit code 0),5
